City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
290,sorland,NO,67.667,12.6934,41.0,70,0,17.27
291,leshan,CN,29.5623,103.7639,66.11,50,3,2.89
292,fairbanks,US,64.8378,-147.7164,6.01,72,90,2.42
293,maryville,US,35.7565,-83.9705,60.01,72,90,17.27
294,kwinana,AU,-32.25,115.7667,66.0,67,0,4.61
295,katangli,RU,51.7102,143.2326,22.91,99,87,5.17
296,sava,IT,40.4034,17.5584,62.6,48,0,3.44
297,pandan,PH,14.0453,124.1694,78.8,85,89,6.96
298,ahipara,NZ,-35.1667,173.1667,65.5,94,92,6.17
299,hualmay,PE,-11.0964,-77.6139,75.27,71,69,9.78
300,vytegra,RU,61.0064,36.4481,32.5,92,66,9.8
301,russell,US,32.3502,-85.1999,80.6,61,75,13.8
302,laguna,US,38.421,-121.4238,70.0,39,1,5.75
303,nyurba,RU,63.2842,118.3319,7.41,98,87,3.8
304,mitsamiouli,KM,-11.3847,43.2844,83.68,69,34,5.26
305,sabla,NG,12.7525,4.7077,87.71,9,0,8.63
306,pryazha,RU,61.6926,33.6216,35.6,80,78,4.47
307,coquimbo,CL,-29.9533,-71.3436,60.8,77,90,10.36
308,ucluelet,CA,48.9329,-125.5528,42.01,93,75,12.66
309,vanavara,RU,60.34,102.2797,6.39,99,85,2.17
310,merzifon,TR,40.8733,35.4631,41.0,65,0,8.05
311,bredasdorp,ZA,-34.5322,20.0403,64.4,77,100,14.97
312,faanui,PF,-16.4833,-151.75,82.44,73,46,21.61
313,salinopolis,BR,-0.6136,-47.3561,80.83,81,87,10.29
314,souillac,MU,-20.5167,57.5167,78.8,83,40,3.44
315,chenzhou,CN,25.8,113.0333,72.14,82,3,4.23
316,san juan,AR,-31.5375,-68.5364,78.08,19,0,5.73
317,ambilobe,MG,-13.2,49.05,76.87,90,80,0.4
318,hervey bay,AU,-25.2986,152.8535,70.0,82,100,1.01
319,aras,ES,42.5617,-2.356,68.0,34,0,11.5
320,gizo,SB,-8.103,156.8419,82.42,74,58,6.69
321,manokwari,ID,-0.8667,134.0833,77.07,84,100,5.57
322,buraydah,SA,26.326,43.975,66.2,26,0,8.05
323,tuensang,IN,26.2833,94.8333,63.12,26,3,2.91
324,pingyin,CN,36.2831,116.4453,61.0,30,64,7.09
325,prince rupert,CA,54.3161,-130.3201,39.2,75,75,5.75
326,acapulco,MX,16.8634,-99.8901,86.0,39,1,5.75
327,egvekinot,RU,66.3167,-179.1667,5.86,93,100,11.97
328,maniitsoq,GL,65.4167,-52.9,6.12,48,14,1.83
329,novooleksiyivka,UA,46.2269,34.6428,46.83,61,61,7.83
330,chicama,PE,-7.8447,-79.1469,71.6,83,0,11.5
331,warrington,GB,53.3925,-2.5802,54.0,91,100,5.99
332,novikovo,RU,51.1537,37.8879,36.43,78,100,4.0
333,zyryanka,RU,65.75,150.85,-8.59,99,99,1.03
334,soyo,AO,-6.1349,12.3689,81.3,77,83,6.38
335,spokane,US,47.6166,-117.3677,50.0,57,1,11.5
336,ati,TD,13.2154,18.3353,84.61,14,4,11.16
